,Title,Year,Certificate,Runtime,Genre,IMDB,Metascore,Director,Votes,Gross
205,The Land Before Time,(1988),U,69 min,"Animation, Adventure, Drama",7.4,66        ,Don Bluth,"94,577",$48.09M
206,Kubo and the Two Strings,(2016),P13,101 min,"Animation, Action, Adventure",7.7,84        ,Travis Knight,"134,687",$48.02M
207,The Jungle Book 2,(2003),U,72 min,"Animation, Adventure, Comedy",5.3,38        ,Steve Trenbirth,"17,287",$47.89M
208,Kimetsu no Yaiba: Mugen Ressha-Hen,(2020),P13,117 min,"Animation, Action, Adventure",8.2,72        ,Haruo Sotozaki,"66,278",$47.70M
209,An American Tail,(1986),U,80 min,"Animation, Adventure, Comedy",6.9,38        ,Don Bluth,"56,130",$47.48M
210,"Lyle, Lyle, Crocodile",(2022),PG,106 min,"Animation, Adventure, Comedy",6.1,51        ,Josh Gordon,"12,450",$46.89M
211,Tom and Jerry,(II) (2021),PG,101 min,"Animation, Adventure, Comedy",5.2,32        ,Tim Story,"37,707",$46.54M
212,Arthur Christmas,(2011),U,97 min,"Animation, Adventure, Comedy",7.1,69        ,Sarah Smith,"63,499",$46.46M
213,The Tigger Movie,(2000),,77 min,"Animation, Adventure, Comedy",6.3,53        ,Jun Falkenstein,"19,754",$45.55M
214,Wonder Park,(2019),P13,85 min,"Animation, Adventure, Comedy",5.8,45        ,Dylan Brown,"12,390",$45.22M
215,Smurfs: The Lost Village,(2017),PG,90 min,"Animation, Adventure, Comedy",6.0,40        ,Kelly Asbury,"23,039",$45.02M
